ID_CLIENT,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,REG_ADDRESS_PROVINCE,FACT_ADDRESS_PROVINCE,POSTAL_ADDRESS_PROVINCE,FL_PRESENCE_FL,OWN_AUTO,AGREEMENT_RK,TARGET,WORK_TIME,CREDIT,TERM,FST_PAYMENT,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,FAMILY_INCOME,PERSONAL_INCOME
106819249,30,1,Высшее,Не состоял в браке,0,0,1,0,Ростовская область,Ростовская область,Ростовская область,0,1,75021737,0,54,14796,6,3000,3,2,от 5000 до 10000 руб.,15000
106818810,61,1,Среднее специальное,Состою в браке,2,0,1,1,Хабаровский край,Хабаровский край,Хабаровский край,0,1,74834078,0,48,98030,36,54870,1,0,от 20000 до 50000 руб.,27000
106816627,38,1,Среднее,Состою в браке,0,1,1,0,Приморский край,Приморский край,Приморский край,0,0,67335615,0,132,5738,6,432,3,1,от 20000 до 50000 руб.,15000
106813813,51,1,Среднее,Гражданский брак,0,0,1,0,Тюменская область,Тюменская область,Тюменская область,0,0,66194407,0,72,5015,12,885,1,0,от 20000 до 50000 руб.,6000
106810992,58,0,Среднее,Состою в браке,2,0,0,1,Ростовская область,Ростовская область,Ростовская область,0,0,63326150,0,48,21246,12,0,1,0,от 10000 до 20000 руб.,10500
106804376,35,0,Высшее,Разведен(а),1,1,1,0,Вологодская область,Вологодская область,Вологодская область,1,0,59911832,0,6,10450,3,15000,2,2,от 20000 до 50000 руб.,15000
106814732,45,0,Среднее,Состою в браке,2,1,1,0,Хакасия,Хакасия,Хакасия,1,0,66756441,0,120,8793,5,977,4,4,от 20000 до 50000 руб.,20000
106813352,25,1,Среднее,Состою в браке,0,0,1,0,Тамбовская область,Тамбовская область,Тамбовская область,1,0,65405795,0,84,7999,6,1000,2,2,от 20000 до 50000 руб.,9000
106808812,62,1,Среднее специальное,Состою в браке,2,0,1,1,Челябинская область,Челябинская область,Челябинская область,1,0,62083785,0,504,35000,12,10000,1,0,от 20000 до 50000 руб.,13000
106808912,30,1,Среднее специальное,Состою в браке,1,1,1,0,Хакасия,Хакасия,Хакасия,0,1,62128075,0,60,25899,12,3000,1,0,от 20000 до 50000 руб.,11000
106807419,56,1,Неполное среднее,Состою в браке,3,0,1,1,Пермская область,Пермская область,Пермская область,1,0,61427836,0,90,11400,4,15000,1,1,от 20000 до 50000 руб.,20000
106810124,36,1,Среднее,Не состоял в браке,1,1,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,62599729,0,60,11085,6,10000,1,0,от 10000 до 20000 руб.,15000
106810291,55,1,Высшее,Состою в браке,2,0,1,0,Воронежская область,Воронежская область,Воронежская область,0,0,62623117,0,84,23516,10,2614,1,0,от 10000 до 20000 руб.,13000
106806782,29,0,Среднее,Не состоял в браке,1,1,1,0,Карелия,Карелия,Карелия,0,0,61253219,0,12,18175,12,8000,1,0,от 20000 до 50000 руб.,25000
106811473,32,0,Среднее специальное,Состою в браке,2,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,0,1,63913234,0,29,19602,6,2178,1,0,от 20000 до 50000 руб.,21000
106815597,36,0,Среднее,Состою в браке,1,1,1,0,Костромская область,Костромская область,Костромская область,0,1,67020373,0,48,11550,6,14760,2,2,от 20000 до 50000 руб.,15000
106806966,27,0,Среднее специальное,Состою в браке,2,2,1,0,Саратовская область,Саратовская область,Саратовская область,1,0,61306799,0,48,22230,24,2470,1,0,от 10000 до 20000 руб.,6500
106807263,41,0,Среднее специальное,Состою в браке,3,2,1,0,Ростовская область,Ростовская область,Ростовская область,0,0,61378742,0,24,21500,6,2500,1,0,от 10000 до 20000 руб.,10000
106816932,54,1,Среднее,Вдовец/Вдова,2,0,0,1,Тюменская область,Тюменская область,Тюменская область,0,0,67531672,0,48,8186,6,0,1,0,от 5000 до 10000 руб.,6500
106805731,52,0,Среднее специальное,Состою в браке,1,0,1,0,Ленинградская область,Ленинградская область,Ленинградская область,1,0,60468475,0,18,14990,6,10000,1,1,от 20000 до 50000 руб.,30000
106815450,28,1,Среднее специальное,Разведен(а),1,1,1,0,Архангельская область,Архангельская область,Архангельская область,0,0,66961178,0,108,10551,6,2000,1,0,от 10000 до 20000 руб.,12000
106815247,26,1,Среднее специальное,Состою в браке,1,1,1,0,Пензенская область,Пензенская область,Пензенская область,0,0,66902951,0,36,8770,9,1000,1,0,от 20000 до 50000 руб.,8000
106808385,27,0,Среднее,Состою в браке,1,1,1,0,Курская область,Курская область,Курская область,1,0,61958864,0,72,13978,12,2000,1,0,от 20000 до 50000 руб.,20000
106812479,28,0,Среднее специальное,Не состоял в браке,0,0,1,0,Читинская область,Читинская область,Читинская область,0,0,64564180,1,12,7740,12,870,1,0,от 10000 до 20000 руб.,12000
106806694,25,1,Среднее специальное,Состою в браке,1,1,1,0,Ивановская область,Ивановская область,Ивановская область,1,0,61243509,0,48,9400,6,2000,1,0,от 20000 до 50000 руб.,11000
106817240,39,1,Среднее,Состою в браке,2,2,1,0,Чувашия,Чувашия,Чувашия,0,0,72289471,0,10,3150,6,400,2,1,от 10000 до 20000 руб.,8000
106814406,64,1,Высшее,Вдовец/Вдова,0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,66661261,1,96,24520,12,3000,1,0,от 20000 до 50000 руб.,23000
106811422,43,0,Неполное среднее,Состою в браке,1,1,1,0,Амурская область,Амурская область,Амурская область,0,0,63907628,0,36,20450,10,3000,1,0,от 20000 до 50000 руб.,20000
106813026,44,0,Среднее специальное,Гражданский брак,0,0,1,0,Хабаровский край,Хабаровский край,Хабаровский край,1,0,65007484,0,10,26400,12,3000,1,0,от 20000 до 50000 руб.,22000
106811785,34,1,Высшее,Состою в браке,2,2,1,0,Курганская область,Курганская область,Курганская область,0,0,64335140,0,24,21724,6,2500,1,0,от 20000 до 50000 руб.,15000
106814631,34,1,Среднее,Состою в браке,1,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0,66745524,1,40,4520,3,0,2,2,от 20000 до 50000 руб.,7000
106808319,51,1,Неоконченное высшее,Не состоял в браке,1,0,1,0,Алтайский край,Алтайский край,Алтайский край,0,0,61938660,0,144,5580,6,620,2,2,от 5000 до 10000 руб.,7500
106819444,40,0,Среднее специальное,Состою в браке,2,2,1,0,Удмуртия,Удмуртия,Удмуртия,0,0,75214244,0,48,7940,6,3500,1,0,от 20000 до 50000 руб.,15000
106808888,27,0,Среднее специальное,Состою в браке,1,1,1,0,Оренбургская область,Оренбургская область,Оренбургская область,0,1,62094470,1,50,23000,12,0,1,0,от 10000 до 20000 руб.,12000
106804549,29,0,Высшее,Не состоял в браке,0,0,1,0,Вологодская область,Вологодская область,Вологодская область,0,0,59930422,0,18,24330,6,10000,1,1,от 10000 до 20000 руб.,20000
106805096,42,1,Среднее специальное,Состою в браке,2,2,1,0,Алтайский край,Алтайский край,Алтайский край,0,0,60098380,0,48,23320,10,730,1,0,от 10000 до 20000 руб.,11000
106809603,50,1,Среднее специальное,Состою в браке,1,0,1,0,Курганская область,Курганская область,Курганская область,0,0,62384561,0,5,10000,6,1115,1,0,от 10000 до 20000 руб.,10000
106804668,26,0,Среднее специальное,Состою в браке,1,1,1,0,Курганская область,Курганская область,Курганская область,0,0,59962548,0,36,4208,3,0,1,1,от 20000 до 50000 руб.,15000
106806709,22,0,Среднее специальное,Не состоял в браке,0,0,1,0,Читинская область,Читинская область,Читинская область,0,1,61244949,1,12,11900,12,2100,1,0,от 10000 до 20000 руб.,10000
106809344,57,0,Высшее,Состою в браке,2,1,1,1,Московская область,Московская область,Московская область,1,1,62249206,0,408,9120,12,1020,1,0,свыше 50000 руб.,23000
106810377,50,1,Среднее специальное,Вдовец/Вдова,0,0,1,0,Пермская область,Пермская область,Пермская область,1,0,62786543,0,60,10836,10,1204,1,0,от 20000 до 50000 руб.,15000
106807392,35,0,Среднее,Состою в браке,1,1,1,0,Татарстан,Татарстан,Татарстан,1,0,61423700,0,48,7020,6,780,1,0,от 10000 до 20000 руб.,12500
106814845,55,1,Среднее,Не состоял в браке,1,0,1,1,Бурятия,Бурятия,Бурятия,0,0,66771811,0,60,30599,10,3400,2,2,от 20000 до 50000 руб.,20000
106814457,34,0,Высшее,Состою в браке,0,1,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,1,66670943,0,78,10322,6,4650,3,3,от 10000 до 20000 руб.,12000
106809251,28,0,Среднее специальное,Состою в браке,1,1,1,0,Алтайский край,Алтайский край,Алтайский край,1,0,62236055,0,48,24640,12,3360,1,0,от 10000 до 20000 руб.,6000
106810072,59,0,Неполное среднее,Состою в браке,3,0,1,0,Кемеровская область,Кемеровская область,Кемеровская область,0,0,62593286,0,192,8064,6,7506,1,0,от 20000 до 50000 руб.,17500
106814933,47,1,Высшее,Не состоял в браке,1,0,1,0,Тульская область,Тульская область,Тульская область,1,0,66782719,0,144,10990,6,2000,3,3,от 10000 до 20000 руб.,18000
106814139,41,1,Среднее,Разведен(а),2,2,1,0,Свердловская область,Свердловская область,Свердловская область,1,0,66432857,0,10,9000,6,1000,2,2,от 10000 до 20000 руб.,9000
106814227,36,1,Среднее,Разведен(а),0,0,1,0,Псковская область,Псковская область,Псковская область,0,0,66530733,1,120,24000,12,6000,2,2,от 10000 до 20000 руб.,7000
106807660,55,0,Среднее,Состою в браке,0,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0,61467586,0,60,13190,10,1500,1,0,от 20000 до 50000 руб.,18000
106808013,52,0,Среднее специальное,Не состоял в браке,1,0,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0,61845475,0,132,12593,5,1399,1,0,от 20000 до 50000 руб.,25000
106819134,46,0,Высшее,Состою в браке,2,0,1,0,Иркутская область,Иркутская область,Иркутская область,0,0,74995307,1,36,40574,12,4600,1,0,свыше 50000 руб.,30000
106804736,23,1,Среднее специальное,Состою в браке,1,1,1,0,Саратовская область,Саратовская область,Саратовская область,0,0,59973701,0,12,6785,10,210,1,0,от 10000 до 20000 руб.,7000
106816512,23,1,Среднее специальное,Состою в браке,0,0,1,0,Пензенская область,Пензенская область,Пензенская область,0,0,67321747,0,12,13949,12,1550,1,0,от 10000 до 20000 руб.,9000
106812357,40,1,Высшее,Не состоял в браке,1,1,1,0,Пермская область,Пермская область,Пермская область,0,0,64471913,0,180,56000,10,10000,1,0,от 10000 до 20000 руб.,15000
106806593,36,1,Среднее специальное,Разведен(а),3,3,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0,61231849,0,18,2578,6,1000,1,1,от 20000 до 50000 руб.,11000
106811597,23,0,Среднее,Состою в браке,1,1,1,0,Белгородская область,Белгородская область,Белгородская область,0,0,63986090,0,12,17000,6,2000,1,0,от 10000 до 20000 руб.,15000
106808617,40,1,Высшее,Состою в браке,1,0,1,0,Коми,Коми,Коми,0,1,62024184,0,72,21400,6,4048,1,0,от 20000 до 50000 руб.,25000
106814760,61,0,Среднее,Вдовец/Вдова,0,0,0,1,Тульская область,Тульская область,Тульская область,1,0,66760003,0,48,2990,3,0,3,3,от 5000 до 10000 руб.,8500
106812381,48,0,Среднее специальное,Состою в браке,0,0,1,0,Орловская область,Орловская область,Орловская область,0,0,64551242,0,350,15290,10,1700,2,0,от 10000 до 20000 руб.,9000
106807036,52,1,Среднее,Состою в браке,0,0,1,0,Волгоградская область,Волгоградская область,Волгоградская область,0,0,61316755,0,16,12830,8,1500,1,0,от 5000 до 10000 руб.,5000
106810826,41,0,Высшее,Состою в браке,1,1,1,0,Смоленская область,Смоленская область,Смоленская область,1,0,63094088,0,8,13480,6,1500,1,0,свыше 50000 руб.,40000
106816112,44,1,Среднее,Не состоял в браке,2,1,1,0,Рязанская область,Рязанская область,Рязанская область,1,1,67173594,1,180,15750,10,10000,2,2,от 20000 до 50000 руб.,30000
106810415,36,1,Среднее специальное,Состою в браке,3,3,1,0,Липецкая область,Липецкая область,Липецкая область,0,0,62799248,0,156,5400,6,5000,1,0,от 10000 до 20000 руб.,8000
106810352,42,0,Среднее специальное,Состою в браке,3,2,1,0,Ростовская область,Ростовская область,Ростовская область,0,0,62776533,0,48,23930,6,10000,1,0,от 10000 до 20000 руб.,12000
106806638,22,1,Среднее специальное,Состою в браке,0,1,1,0,Ростовская область,Ростовская область,Ростовская область,0,0,61236972,1,12,25000,10,10097,1,0,от 20000 до 50000 руб.,14000
106805151,49,1,Среднее специальное,Состою в браке,2,0,1,0,Калужская область,Калужская область,Калужская область,1,0,60106019,0,80,18667,6,3294,1,0,от 20000 до 50000 руб.,17000
106810466,39,1,Среднее специальное,Состою в браке,2,2,1,0,Пензенская область,Пензенская область,Пензенская область,0,0,62809362,0,36,8120,10,1000,1,0,от 5000 до 10000 руб.,5000
106806423,41,0,Среднее специальное,Не состоял в браке,1,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0,61151593,0,18,15560,6,12000,1,0,от 20000 до 50000 руб.,25000
106817975,63,1,Среднее,Разведен(а),2,0,0,1,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0,0,74190360,0,48,8990,3,10000,1,1,от 5000 до 10000 руб.,6000
106808611,33,1,Среднее специальное,Состою в браке,1,1,1,0,Вологодская область,Вологодская область,Вологодская область,1,0,62023684,0,3,17500,6,4000,1,0,от 20000 до 50000 руб.,15000
106805994,38,0,Высшее,Состою в браке,1,1,1,0,Карелия,Карелия,Карелия,0,0,61079700,0,24,10000,3,22000,1,1,от 20000 до 50000 руб.,16000
106817206,29,1,Среднее специальное,Состою в браке,1,1,1,0,Новосибирская область,Новосибирская область,Новосибирская область,0,0,72285109,0,69,4704,3,686,1,1,от 20000 до 50000 руб.,10000
106817423,49,1,Среднее,Вдовец/Вдова,1,1,1,0,Пермская область,Пермская область,Пермская область,1,0,73827016,0,24,13312,11,1854,2,1,от 10000 до 20000 руб.,8000
106807204,50,1,Среднее специальное,Состою в браке,2,0,1,0,Татарстан,Татарстан,Татарстан,1,0,61372316,0,360,10616,10,1200,1,0,от 20000 до 50000 руб.,6000
106804641,48,0,Среднее,Состою в браке,0,0,1,0,Белгородская область,Белгородская область,Белгородская область,0,0,59939829,0,3,8700,3,1000,1,1,от 10000 до 20000 руб.,12000
106812737,42,1,Среднее специальное,Состою в браке,2,2,1,0,Вологодская область,Вологодская область,Вологодская область,0,0,64839795,0,120,20790,12,10000,1,0,от 20000 до 50000 руб.,11000
106812468,39,0,Высшее,Состою в браке,1,1,1,0,Калужская область,Калужская область,Калужская область,0,0,64563165,0,59,4440,6,499,1,0,от 20000 до 50000 руб.,18000
106814189,61,1,Высшее,Не состоял в браке,0,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0,66524810,0,72,15230,3,20000,2,2,от 20000 до 50000 руб.,17000
106805078,42,1,Среднее,Вдовец/Вдова,2,2,1,0,Псковская область,Псковская область,Псковская область,0,0,60096783,0,12,6834,10,750,1,0,от 10000 до 20000 руб.,14000
106813497,23,1,Высшее,Не состоял в браке,0,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0,65482083,0,18,13380,5,4225,2,2,от 10000 до 20000 руб.,10000
106818121,28,1,Высшее,Не состоял в браке,0,0,1,0,Читинская область,Читинская область,Читинская область,0,0,74467755,0,36,33500,6,15000,4,4,от 20000 до 50000 руб.,15000
106812203,56,1,Высшее,Вдовец/Вдова,0,0,1,1,Хабаровский край,Хабаровский край,Хабаровский край,0,0,64445162,0,192,15291,5,13539,1,1,от 20000 до 50000 руб.,30000
106814506,28,1,Высшее,Состою в браке,1,1,1,0,Удмуртия,Удмуртия,Удмуртия,0,0,66700908,0,72,11000,6,0,1,1,от 20000 до 50000 руб.,18000
106806141,27,0,Среднее,Состою в браке,1,1,1,0,Самарская область,Самарская область,Самарская область,0,0,61110489,0,12,21736,10,2500,1,0,от 20000 до 50000 руб.,25000
106818400,46,1,Среднее,Не состоял в браке,1,0,1,0,Костромская область,Костромская область,Костромская область,0,0,74544319,0,301,12470,10,6000,3,2,от 10000 до 20000 руб.,11000
106813016,38,1,Среднее специальное,Состою в браке,1,1,1,0,Калужская область,Калужская область,Калужская область,1,0,64995451,0,72,21279,6,5500,1,1,от 20000 до 50000 руб.,15000
106812663,35,1,Среднее,Состою в браке,2,2,1,0,Татарстан,Татарстан,Татарстан,1,0,64827687,0,168,8390,6,2000,1,0,от 10000 до 20000 руб.,8700
106816718,37,1,Высшее,Состою в браке,1,1,1,0,Тверская область,Тверская область,Тверская область,0,1,67421931,1,228,18500,6,5000,1,0,от 10000 до 20000 руб.,20000
106819222,49,0,Среднее,Состою в браке,2,1,1,0,Тамбовская область,Тамбовская область,Тамбовская область,0,0,75017098,0,197,23331,6,2700,2,2,от 20000 до 50000 руб.,15000
106818069,37,0,Среднее,Состою в браке,3,3,1,0,Орловская область,Орловская область,Орловская область,0,1,74460711,1,20,14965,10,10000,2,2,от 20000 до 50000 руб.,40000
106805000,36,1,Среднее специальное,Разведен(а),2,2,1,0,Самарская область,Самарская область,Самарская область,1,0,60086903,0,36,7709,6,1361,1,0,от 10000 до 20000 руб.,20000
106805886,51,0,Среднее специальное,Не состоял в браке,2,0,1,0,Челябинская область,Челябинская область,Челябинская область,0,0,61054691,0,3,4812,3,4000,1,1,от 10000 до 20000 руб.,12000
106817456,47,1,Высшее,Состою в браке,0,0,1,0,Омская область,Омская область,Омская область,0,0,73830243,1,72,29471,12,3280,1,0,от 20000 до 50000 руб.,10000
106819251,46,1,Среднее специальное,Состою в браке,0,0,1,0,Воронежская область,Воронежская область,Воронежская область,0,0,75021931,0,60,14796,3,5000,1,1,от 20000 до 50000 руб.,20000
106810057,28,1,Высшее,Разведен(а),1,1,1,0,Волгоградская область,Волгоградская область,Волгоградская область,1,0,62590815,1,84,78800,24,20000,1,0,свыше 50000 руб.,55000
106805706,53,1,Высшее,Не состоял в браке,2,0,1,0,Приморский край,Приморский край,Приморский край,1,0,60465966,0,12,3498,3,2852,1,1,от 20000 до 50000 руб.,20000
106814104,26,0,Среднее,Состою в браке,1,1,1,0,Пензенская область,Пензенская область,Пензенская область,1,0,66420656,0,8,7000,9,800,2,2,от 10000 до 20000 руб.,9000
106814865,61,0,Высшее,Состою в браке,4,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,0,66773911,1,192,13950,3,1550,2,2,от 10000 до 20000 руб.,14000
106805710,48,1,Среднее,Состою в браке,2,0,1,0,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0,0,60466295,0,8,15210,12,0,1,0,от 10000 до 20000 руб.,7000
106806150,30,1,Среднее специальное,Не состоял в браке,1,1,1,0,Свердловская область,Свердловская область,Свердловская область,0,0,61111863,0,96,17900,7,12000,1,0,от 20000 до 50000 руб.,16000
106812901,22,0,Среднее специальное,Состою в браке,1,0,1,0,Московская область,Московская область,Московская область,0,1,64898724,1,8,11440,6,3000,1,0,от 20000 до 50000 руб.,20000
106806620,53,1,Высшее,Состою в браке,2,0,1,0,Тамбовская область,Тамбовская область,Тамбовская область,1,0,61235487,0,360,14461,3,9000,1,1,от 10000 до 20000 руб.,8000
106806921,56,1,Среднее специальное,Состою в браке,1,0,1,0,Брянская область,Брянская область,Брянская область,0,0,61299664,0,276,5400,6,0,1,1,от 10000 до 20000 руб.,11500
106810642,54,0,Среднее,Гражданский брак,2,0,1,0,Омская область,Омская область,Омская область,0,1,62994403,0,48,5850,11,650,1,0,от 10000 до 20000 руб.,8000
106816522,40,0,Среднее специальное,Состою в браке,1,1,1,0,Чувашия,Чувашия,Чувашия,0,0,67322945,0,18,21827,6,11754,1,0,от 20000 до 50000 руб.,35000
106816762,56,0,Среднее специальное,Состою в браке,1,0,0,1,Воронежская область,Воронежская область,Воронежская область,0,0,67426389,0,48,24500,12,747,1,0,от 10000 до 20000 руб.,9000
106806936,46,1,Высшее,Состою в браке,0,0,1,0,Приморский край,Приморский край,Приморский край,1,0,61302471,0,60,6290,6,700,1,1,от 10000 до 20000 руб.,9000
106806424,52,1,Среднее специальное,Состою в браке,0,0,1,0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,0,0,61151598,0,300,38408,6,9602,1,0,от 20000 до 50000 руб.,15000
106809188,32,0,Среднее,Состою в браке,2,2,1,0,Смоленская область,Смоленская область,Смоленская область,0,0,62185166,1,12,24220,8,2700,1,0,от 20000 до 50000 руб.,12000
106812564,59,0,Высшее,Состою в браке,1,0,0,1,Костромская область,Костромская область,Костромская область,1,0,64592177,0,48,4710,3,400,1,1,от 10000 до 20000 руб.,7000
106816934,35,0,Среднее,Состою в браке,1,1,1,0,Кемеровская область,Кемеровская область,Кемеровская область,1,0,67533565,0,108,17660,6,3000,2,2,от 20000 до 50000 руб.,17000
106806610,26,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,Татарстан,Татарстан,Татарстан,0,0,61234815,0,6,7629,10,2000,1,0,от 5000 до 10000 руб.,8000
106817951,39,0,Среднее специальное,Гражданский брак,1,1,1,0,Красноярский край,Красноярский край,Красноярский край,0,0,74187392,0,60,13080,10,3000,3,2,от 10000 до 20000 руб.,11000
106819061,40,1,Среднее,Состою в браке,3,2,1,0,Орловская область,Орловская область,Орловская область,1,0,74984325,0,216,28666,7,5000,2,1,от 20000 до 50000 руб.,20000
106804671,57,0,Среднее,Состою в браке,3,0,1,0,Краснодарский край,Краснодарский край,Краснодарский край,0,1,59963388,0,384,2650,4,500,1,1,от 10000 до 20000 руб.,7000
106814172,60,1,Среднее,Состою в браке,1,1,1,0,Калининградская область,Калининградская область,Калининградская область,1,0,66521201,0,300,10190,6,1808,2,2,от 20000 до 50000 руб.,20000
106815073,45,1,Среднее,Состою в браке,0,0,1,0,Воронежская область,Воронежская область,Воронежская область,0,0,66849149,0,288,20650,8,1000,3,2,от 10000 до 20000 руб.,8600
106811912,40,0,Неоконченное высшее,Состою в браке,2,2,1,0,Якутия,Якутия,Якутия,0,0,64359123,0,12,57593,6,0,1,0,свыше 50000 руб.,45000
106810012,38,0,Высшее,Состою в браке,1,0,1,0,Саратовская область,Саратовская область,Саратовская область,0,0,62508107,0,60,8280,3,3000,1,1,от 5000 до 10000 руб.,8000
106807427,22,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,Новосибирская область,Новосибирская область,Новосибирская область,0,1,61428784,0,24,8998,12,0,1,0,от 20000 до 50000 руб.,15000
106816469,49,0,Среднее,Состою в браке,3,0,1,0,Рязанская область,Рязанская область,Рязанская область,1,0,67316365,0,300,35332,12,4000,2,1,от 5000 до 10000 руб.,12000
106811299,53,1,Среднее,Гражданский брак,1,0,0,1,Тульская область,Тульская область,Тульская область,1,0,63810875,1,48,3500,3,1930,3,2,от 10000 до 20000 руб.,8500
